case_id,age,gender,business_sector,business_age_yrs,num_applicants,cibil_score,num_active_loans,num_overdue_accounts,loan_ask_lakhs,annual_gst_turnover_lakhs,gst_seasonality_cv,revenue_lakhs,cogs_pct,net_profit_margin_pct,cash_profit_lakhs,total_assets_lakhs,total_debt_lakhs,net_worth_lakhs,debt_to_equity,current_ratio,debtors_days,creditors_days,avg_bank_balance_lakhs,total_credits_12m_lakhs,total_debits_12m_lakhs,num_cheque_bounces,num_emi_bounces,bank_credit_to_revenue,loan_to_revenue,loan_to_net_worth,abb_to_loan,cash_profit_to_loan,foir,risk_label,risk_label_3class
GC-LAP-00001,45,M,Trading,6,1,753.0,2,1,100.5,354.8,0.0465,437.7,69.0,15.36,87.3,405.7,64.3,341.4,0.188,0.82,103.0,75,13.3,459.3,438.8,1.0,1,1.049,0.23,0.294,0.1323,0.869,0.303,Medium-High,High
GC-LAP-00002,40,F,Food_Processing,8,1,701.0,1,0,104.3,731.2,0.1982,686.7,78.7,10.6,92.4,892.5,204.4,688.1,0.297,0.87,73.0,69,11.09,705.4,690.7,0.0,1,1.027,0.152,0.152,0.1063,0.886,0.228,Low,Low
GC-LAP-00003,47,M,Services,7,2,753.0,1,1,142.1,195.1,0.3048,178.5,62.7,28.84,57.8,225.1,160.6,64.6,2.486,1.08,45.0,27,3.63,135.4,129.6,1.0,0,0.759,0.796,2.201,0.0255,0.407,0.458,Low,Low
GC-LAP-00004,54,F,Services,10,2,779.0,3,2,160.1,191.0,0.0514,239.3,43.3,49.07,124.5,306.9,98.9,207.9,0.476,1.17,70.0,72,13.23,238.0,211.6,0.0,1,0.995,0.669,0.77,0.0826,0.778,0.33,Medium-Low,Low
GC-LAP-00005,40,M,Logistics,15,2,667.0,1,1,83.5,974.1,0.2115,970.6,75.4,17.05,181.2,973.4,651.6,321.8,2.025,0.3,120.0,48,96.58,686.4,557.3,0.0,0,0.707,0.086,0.259,1.1566,2.17,0.099,Medium-Low,Low
GC-LAP-00006,40,M,Trading,6,1,651.0,4,0,249.2,150.9,0.2042,137.0,51.7,21.55,33.2,120.2,43.3,76.9,0.563,1.9,93.0,94,10.29,139.4,109.8,0.0,1,1.018,1.819,3.242,0.0413,0.133,1.805,High,High
GC-LAP-00007,54,M,Textiles,15,1,807.0,2,1,267.1,454.1,0.2403,499.5,63.0,17.18,105.0,696.1,300.3,395.8,0.759,0.6,90.0,30,23.49,604.0,573.3,0.0,0,1.209,0.535,0.675,0.0879,0.393,0.48,Low,Low
GC-LAP-00008,48,F,Textiles,6,2,716.0,1,0,134.2,278.9,0.4314,328.6,73.6,22.04,76.6,260.0,89.2,170.8,0.522,1.1,72.0,91,38.56,373.9,310.5,0.0,0,1.138,0.408,0.786,0.2873,0.571,0.331,Medium-High,High
GC-LAP-00009,38,M,Trading,5,1,739.0,4,0,337.9,488.8,0.1102,454.0,82.1,5.53,38.8,577.3,345.1,232.2,1.486,1.26,28.0,48,64.35,463.7,493.9,0.0,1,1.021,0.744,1.455,0.1904,0.115,1.871,Medium-Low,Low
GC-LAP-00010,46,M,Manufacturing,14,1,774.0,0,0,114.4,200.5,0.2793,208.0,54.8,8.24,21.4,170.4,88.0,82.5,1.067,0.99,63.0,35,8.1,185.1,200.1,0.0,1,0.89,0.55,1.387,0.0708,0.187,0.771,Medium-Low,Low
GC-LAP-00011,38,M,Logistics,14,2,662.0,1,0,39.5,188.3,0.1794,177.6,61.7,16.83,36.4,218.3,111.5,106.8,1.044,1.68,67.0,72,2.71,163.6,138.3,3.0,1,0.921,0.222,0.37,0.0686,0.923,0.321,Medium-Low,Low
GC-LAP-00012,38,M,Trading,14,1,774.0,0,0,69.0,652.8,0.0765,835.2,35.9,29.22,256.0,1183.7,624.7,559.0,1.118,1.38,71.0,19,9.69,997.5,873.0,1.0,0,1.194,0.083,0.123,0.1404,3.711,0.039,High,High
GC-LAP-00013,43,M,Manufacturing,3,2,758.0,0,0,91.9,914.3,0.2674,825.5,63.9,31.25,281.4,338.8,128.2,210.6,0.608,0.93,31.0,42,2.94,581.6,577.0,1.0,1,0.705,0.111,0.436,0.032,3.062,0.047,Medium-Low,Low
GC-LAP-00014,26,M,Services,7,1,808.0,1,0,208.4,264.8,0.0951,229.5,53.0,19.41,45.7,195.3,97.9,97.4,1.005,1.29,96.0,48,11.82,216.7,193.8,3.0,1,0.944,0.908,2.139,0.0567,0.219,0.788,Medium,Medium
GC-LAP-00015,28,M,Services,14,1,807.0,2,0,66.6,407.2,0.4216,430.3,65.6,15.5,72.0,493.4,56.1,437.3,0.128,1.48,49.0,52,13.61,389.9,373.4,0.0,0,0.906,0.155,0.152,0.2044,1.081,0.3,Low,Low
GC-LAP-00016,37,F,Retail,10,1,723.0,4,0,115.7,542.8,0.0738,531.7,47.0,25.75,151.7,871.2,263.4,607.8,0.433,1.62,86.0,55,11.69,587.6,600.4,3.0,0,1.105,0.218,0.19,0.101,1.311,0.268,Low,Low
GC-LAP-00017,33,M,Food_Processing,4,2,765.0,3,0,531.0,344.5,0.6179,396.3,64.9,21.13,94.0,412.3,362.7,49.6,7.31,1.55,98.0,54,22.98,259.0,204.8,0.0,0,0.654,1.34,10.701,0.0433,0.177,1.005,Medium-High,High
GC-LAP-00018,44,M,Food_Processing,12,2,722.0,3,0,137.9,487.6,0.1403,552.0,67.2,17.36,105.1,323.2,249.0,74.2,3.353,1.68,75.0,46,4.81,512.3,439.7,0.0,0,0.928,0.25,1.857,0.0349,0.762,0.36,Medium-Low,Low
GC-LAP-00019,34,M,Food_Processing,6,2,728.0,0,0,314.9,999.7,0.2693,699.8,78.3,12.32,111.0,536.1,256.5,279.6,0.918,1.56,85.0,63,19.61,694.9,551.4,0.0,1,0.993,0.45,1.126,0.0623,0.353,0.408,Low,Low
GC-LAP-00020,30,F,Manufacturing,18,2,652.0,2,0,58.5,119.5,0.2208,150.3,36.6,26.55,41.9,73.3,34.5,38.8,0.889,1.03,47.0,75,18.39,176.2,169.8,3.0,0,1.172,0.389,1.507,0.3144,0.716,0.488,Low,Low
GC-LAP-00021,53,M,Construction,17,1,706.0,3,1,35.7,605.1,0.3026,731.7,75.1,9.97,86.4,922.1,472.5,449.6,1.051,1.15,114.0,31,42.59,739.2,639.3,1.0,0,1.01,0.049,0.079,1.193,2.419,0.268,Low,Low
GC-LAP-00022,40,M,Trading,13,1,612.0,2,1,45.7,1342.8,0.334,1623.4,41.8,33.11,593.3,1290.9,510.4,780.5,0.654,1.19,93.0,94,23.06,1713.5,1691.6,0.0,0,1.055,0.028,0.059,0.5046,12.983,0.031,Medium-Low,Low
GC-LAP-00023,42,M,Manufacturing,16,3,711.0,3,0,229.9,634.4,0.4693,731.1,45.7,26.92,210.2,1299.6,399.9,899.7,0.444,1.19,127.0,24,35.77,711.9,556.7,0.0,1,0.974,0.314,0.256,0.1556,0.914,0.243,Low,Low
GC-LAP-00024,30,M,Retail,10,1,799.0,2,1,104.3,126.0,0.1958,138.4,43.7,28.13,48.6,178.8,61.4,117.4,0.523,1.78,96.0,93,12.35,106.7,83.2,0.0,0,0.771,0.753,0.889,0.1184,0.466,0.556,Medium-Low,Low
GC-LAP-00025,37,F,Trading,13,2,766.0,3,0,98.6,954.8,0.2195,789.6,79.0,11.56,,716.8,258.6,458.1,0.565,2.14,26.0,46,1.0,781.3,824.5,0.0,0,0.989,0.125,0.215,0.0101,1.125,0.29,Low,Low
GC-LAP-00026,42,F,Food_Processing,17,3,726.0,2,0,337.4,296.6,0.0747,333.8,53.9,29.79,112.2,575.9,221.4,354.5,0.625,0.3,19.0,81,18.44,300.8,308.3,0.0,1,0.901,1.011,0.952,0.0547,0.333,0.54,Medium-Low,Low
GC-LAP-00027,32,M,Manufacturing,11,1,707.0,0,1,230.5,456.6,0.197,517.9,64.2,17.44,92.9,671.6,381.7,289.8,1.317,1.66,83.0,49,32.41,530.8,497.8,1.0,0,1.025,0.445,0.795,0.1406,0.403,0.357,Low,Low
GC-LAP-00028,45,M,Retail,8,2,687.0,0,0,158.7,621.7,0.2289,777.6,50.2,23.23,213.5,794.3,487.9,306.4,1.593,1.92,90.0,96,18.55,731.9,649.5,0.0,0,0.941,0.204,0.518,0.1169,1.345,0.107,Low,Low
GC-LAP-00029,37,M,Manufacturing,1,1,664.0,0,0,246.3,835.1,0.1217,951.3,69.2,17.08,177.1,1138.7,568.5,570.2,,0.76,42.0,15,,809.3,777.9,0.0,2,0.851,0.259,0.432,0.0522,0.719,0.2,Medium,Medium
GC-LAP-00030,39,M,Manufacturing,9,1,769.0,4,0,109.5,169.1,0.2186,226.3,72.8,13.78,37.4,368.3,179.3,189.0,0.949,2.39,142.0,48,3.45,201.4,184.6,1.0,0,0.89,0.484,0.579,0.0315,0.342,1.063,Medium,Medium
GC-LAP-00031,37,M,Services,14,1,627.0,5,0,147.9,313.8,0.312,279.9,74.7,15.34,55.0,218.8,107.3,111.5,0.963,1.37,92.0,34,8.55,344.7,294.2,1.0,1,1.232,0.528,1.326,0.0578,0.372,0.932,Medium-High,High
GC-LAP-00032,56,M,Trading,14,2,626.0,3,0,58.0,366.8,0.1511,530.9,65.7,19.51,117.2,563.9,136.7,427.1,0.32,1.91,58.0,24,13.93,350.1,346.0,0.0,0,0.659,0.109,0.136,0.2402,2.021,0.225,Medium-High,High
GC-LAP-00033,41,M,Services,12,1,774.0,2,0,75.9,163.4,0.2092,145.3,64.0,19.94,30.9,198.7,160.0,38.7,4.132,1.07,77.0,88,7.42,175.2,148.7,0.0,0,1.206,0.522,1.96,0.0978,0.407,0.743,Medium-Low,Low
GC-LAP-00034,33,F,Food_Processing,7,1,732.0,1,0,102.2,520.0,,493.0,53.7,33.09,177.3,412.0,309.1,102.9,3.004,1.85,104.0,44,12.25,494.3,465.9,0.0,0,1.003,0.207,0.993,0.1199,1.734,0.117,Low,Low
GC-LAP-00035,48,M,Construction,1,1,722.0,4,0,118.1,250.5,0.1628,294.5,75.5,15.44,49.6,424.5,170.1,254.5,0.668,1.67,122.0,50,23.67,204.4,173.6,0.0,1,0.694,0.401,0.464,0.2004,0.42,0.827,Medium,Medium
GC-LAP-00036,32,M,Trading,7,1,732.0,3,0,216.9,318.5,0.1028,324.3,64.0,11.01,43.7,358.5,159.3,199.3,0.799,0.75,106.0,21,54.65,367.1,328.6,0.0,0,1.132,0.669,1.089,0.252,0.201,1.127,Medium,Medium
GC-LAP-00037,43,M,Manufacturing,8,3,840.0,0,0,252.3,212.8,0.152,300.4,78.4,8.59,35.3,392.5,158.5,234.0,0.677,0.87,132.0,69,4.9,384.7,345.0,0.0,0,1.281,0.84,1.078,0.0194,0.14,1.029,Medium,Medium
GC-LAP-00038,26,M,Trading,8,1,723.0,1,0,667.2,450.6,0.3739,477.7,45.8,29.38,157.9,527.9,250.4,277.5,0.902,1.27,92.0,45,22.03,394.8,369.9,3.0,1,0.826,1.397,2.404,0.033,0.237,0.646,Medium-High,High
GC-LAP-00039,31,M,Services,13,3,737.0,2,0,477.2,199.0,0.1422,215.9,44.4,30.66,74.9,215.3,112.8,102.5,1.101,1.9,93.0,53,6.55,226.0,199.7,0.0,1,1.047,2.21,4.657,0.0137,0.157,1.078,Low,Low
GC-LAP-00040,43,M,Services,19,2,843.0,2,0,238.5,292.0,0.2742,330.1,65.2,24.47,88.3,559.3,190.2,369.0,0.516,1.41,56.0,29,9.81,341.4,272.1,1.0,0,1.034,0.722,0.646,0.0411,0.37,0.525,Medium-Low,Low
GC-LAP-00041,47,M,Trading,10,2,716.0,1,0,49.1,302.5,0.0934,321.3,67.8,22.72,74.6,195.4,80.7,114.7,0.704,1.35,66.0,92,4.35,347.2,338.4,0.0,0,1.081,0.153,0.428,0.0886,1.52,0.175,Medium-Low,Low
GC-LAP-00042,43,M,Retail,8,1,823.0,2,0,283.4,206.1,0.066,235.4,52.3,42.9,102.2,289.5,144.1,145.5,0.99,1.07,125.0,96,10.72,224.2,207.0,0.0,1,0.953,1.204,1.948,0.0378,0.36,0.517,Medium,Medium
GC-LAP-00043,41,M,Manufacturing,8,1,593.0,5,0,373.3,83.8,0.1268,71.1,73.0,19.72,16.4,109.1,38.7,70.4,0.549,2.26,19.0,70,40.31,58.6,55.3,0.0,1,0.823,5.247,5.299,0.108,0.044,5.098,Medium,Medium
GC-LAP-00044,39,F,Services,10,2,650.0,1,1,130.5,484.9,0.0538,627.3,47.0,20.93,142.5,1005.5,530.8,474.7,1.118,1.94,58.0,64,38.79,424.0,421.8,0.0,0,0.676,0.208,0.275,0.2972,1.092,0.174,Medium-Low,Low
GC-LAP-00045,30,M,Services,5,1,679.0,3,0,43.4,293.9,,274.8,59.6,34.15,100.3,337.4,164.2,173.2,0.948,1.51,93.0,76,3.95,342.1,352.2,,0,1.245,0.158,0.251,0.091,2.31,0.242,Low,Low
GC-LAP-00046,36,F,Trading,10,2,755.0,1,2,135.8,234.9,0.1779,199.3,70.1,18.97,38.8,219.5,67.3,152.2,0.442,1.75,77.0,94,2.61,176.6,165.3,1.0,0,0.886,0.681,0.892,0.0192,0.286,0.659,Medium,Medium
GC-LAP-00047,38,F,Retail,12,1,826.0,0,0,205.2,293.5,0.1165,279.2,75.7,13.84,46.8,264.1,153.3,110.9,1.382,1.96,101.0,24,59.19,301.9,306.3,0.0,0,1.081,0.735,1.851,0.2885,0.228,0.631,Low,Low
GC-LAP-00048,50,F,Services,11,3,684.0,1,0,139.1,540.3,0.2268,708.6,59.0,20.77,163.8,1016.0,50.8,965.2,0.053,1.21,58.0,5,9.61,383.8,422.2,3.0,2,0.542,0.196,0.144,0.0691,1.178,0.159,Medium-Low,Low
